Cost k_stress k_i V_S3 K_m1 K_P2 V_S4 K_m2 K_P3 V_S5 K_m3 K_d1 K_d2 K_d3 n1 n2 K_b G_tot V_S2 K1 K_d5
1.257689133278767315e+02 1.149226314280787697e+01 1.684170732398848847e+00 3.135648652947979897e+00 2.000000000000000000e+00 7.108950537825859506e+00 1.500000000000000000e+00 8.000000000000000167e-02 1.199999999999999956e+00 8.000000000000000167e-03 3.319920544631051185e-02 4.995882573244793748e-03 1.000000000000000021e-02 3.609372096885938297e-01 4.974705043911920477e+00 5.998848227243524178e+00 4.976770505892967600e-02 2.665630248325951079e+00 7.000000000000000666e-02 3.797100639328463423e-01 8.364919419589830762e-02
1.312184399024277468e+02 1.543026655902114364e+01 1.452120017502235072e+00 3.918415298283221215e+00 1.902241019815024581e+00 8.872393651384445690e+00 1.447902599852299854e+00 4.385482722371852327e-01 1.199785210883971720e+00 4.214890317229645980e-03 5.416155445422412423e-02 5.000000000000000104e-03 1.000000000000000021e-02 3.733980788745507318e-01 5.838014062100114643e+00 4.792275809501175488e+00 2.363169751920660838e-02 3.065919503545514235e+00 2.130438002340709694e-02 3.130150876025631357e-01 7.258664479231537181e-02
1.281823480053353137e+02 1.501800106545453239e+01 1.628569221124858579e+00 3.215050396672935573e+00 2.000000000000000000e+00 9.548045321395457918e+00 1.499738965943489433e+00 1.623471499614930480e-01 8.463565713193218487e-01 6.861432902594757390e-03 7.536183094318958664e-02 4.999999990621909786e-03 1.000000000000000021e-02 3.638909647887448306e-01 5.278366970601434005e+00 5.226676042757437024e+00 4.999999990801580474e-02 3.067870919034707544e+00 1.465004237091978474e-02 5.970794500670320026e-01 8.870073766716443653e-02
1.256329397161453869e+02 1.105540380821899049e+01 1.616403348907827997e+00 3.000000000000000000e+00 2.000000000000000000e+00 7.000000465487302037e+00 1.500000000000000000e+00 8.000000000000000167e-02 1.199999999999999956e+00 1.000000000000000021e-03 6.926075525715368053e-02 5.000000000000000104e-03 1.000000000000000021e-02 3.692020792939463836e-01 5.668605444527935688e+00 4.546399310217156930e+00 5.000000000000000278e-02 2.962444219461182637e+00 4.345091016183216109e-02 4.135009868870750949e-01 8.999999999999999667e-02
1.258256750689078842e+02 1.530247822082434439e+01 1.481507239881170834e+00 3.271741588856529770e+00 2.000000000000000000e+00 8.216281388442803646e+00 1.500000000000000000e+00 8.029813851172926120e-02 1.199999999999999956e+00 2.870883302525141078e-03 4.658037437440751966e-02 5.000000000000000104e-03 1.000000000000000021e-02 3.640727301132785643e-01 4.996085632994079262e+00 4.185526452158312871e+00 5.000000000000000278e-02 2.994061815746582589e+00 3.947622579745391214e-02 4.347476007755233796e-01 8.999990691071058091e-02
1.335429637670240481e+02 1.303505826682901336e+01 1.581436049782529496e+00 3.407579728431068933e+00 1.836407492541989095e+00 1.022238674707188366e+01 1.217541120920158759e+00 7.220058337509484003e-01 9.431565146390362697e-01 8.000000000000000167e-03 4.736341291620702054e-02 4.385874323349671366e-03 1.000000000000000021e-02 3.848959880529139732e-01 4.235559362965771513e+00 5.701148515228123159e+00 2.457306958381494377e-02 3.396349478760599450e+00 1.887574397250246436e-02 6.079241347602329926e-01 8.999999999999999667e-02
1.343748925552279729e+02 1.876287461482794328e+01 1.561205055083658255e+00 3.649731724178267633e+00 1.872231616826058875e+00 9.426597868293756122e+00 1.284389610231234435e+00 1.079614372151177948e+00 9.289313519586659407e-01 8.000000000000000167e-03 4.225887052763673685e-02 3.537058323052363982e-03 1.000000000000000021e-02 3.698096843978919135e-01 4.913467899794297544e+00 5.982319248771304387e+00 2.477070506498101413e-02 3.377585839430459203e+00 2.170162099408450701e-02 5.044063177117175112e-01 8.999999999999999667e-02
1.262385800268649945e+02 1.197127519589264111e+01 1.615043891687351518e+00 3.000000021581936682e+00 1.999999986138649932e+00 9.225469823289442317e+00 1.500000000000000000e+00 8.000000000000000167e-02 1.199999999999999956e+00 7.367613730492074235e-03 2.999999999999999889e-02 4.619409065078300056e-03 1.000000000000000021e-02 3.707986952090429056e-01 5.865598440123999779e+00 5.909588107160790749e+00 5.000000000000000278e-02 2.634702500245665213e+00 1.471218264624440247e-02 3.461346493402947533e-01 5.883433673781071627e-02
1.262751583902977330e+02 1.026778927132819597e+01 1.488741339028062605e+00 3.000000003791794878e+00 1.999999986885871106e+00 8.977619000666066995e+00 1.500000000000000000e+00 8.000000000000000167e-02 1.199999999999999956e+00 7.042991254871197246e-03 4.083421800756690395e-02 3.821928268223723224e-03 1.000000000000000021e-02 3.693490090440531559e-01 4.454870531954813195e+00 4.026496744444536091e+00 4.310316189252667157e-02 3.015886146946604285e+00 3.254958484698432936e-02 2.334909004002310717e-01 8.905437251610362481e-02
1.273980949832769340e+02 1.016735136438754772e+01 1.600514282649042608e+00 3.998259877587198030e+00 2.000000000000000000e+00 7.732230794807431806e+00 1.434225466743522581e+00 8.000000000000000167e-02 1.199999999999999956e+00 7.525375594126408607e-03 4.145579804252270267e-02 4.723478925077716391e-03 1.000000000000000021e-02 3.655628402724545034e-01 4.708415861651040757e+00 4.919999100257996361e+00 3.341570846984212584e-02 2.795814418792217371e+00 6.232438129791791070e-02 5.764461514401084674e-01 8.504295342736629959e-02
1.259630304519413215e+02 1.827259669943330067e+01 1.423018657927575426e+00 3.347620461799730052e+00 2.000000000000000000e+00 1.033349857440458486e+01 1.500000000000000000e+00 8.000000000000000167e-02 1.199999732040416545e+00 8.000000000000000167e-03 5.574540151251975578e-02 4.999332467975543294e-03 1.000000000000000021e-02 3.649897871572147512e-01 4.322732878730926487e+00 4.475826294362601487e+00 4.848211682238703218e-02 2.870142180282882372e+00 5.456217599047526179e-02 5.735157355531156353e-01 8.908148894529079043e-02
1.352352008446399907e+02 1.784381754132137488e+01 1.383097765787134614e+00 3.894165947841711883e+00 1.462368646717592036e+00 9.561537738238428119e+00 1.454934506142404382e+00 9.692260101135179440e-01 1.142134935392527639e+00 8.000000000000000167e-03 3.405121440596203808e-02 4.998243705584225899e-03 1.000000000000000021e-02 3.879029128022579709e-01 4.849588823461505882e+00 4.444672340888529583e+00 1.519367548464762088e-02 3.792197696260644957e+00 2.588042237934191220e-02 3.915939773128359613e-01 8.848321380205416420e-02
